title,description,label
Phản ánh về tình trạng đường hỏng,Đường bị xuống cấp nghiêm trọng gây khó khăn cho việc đi lại,phan_anh
Khiếu nại về việc cấp giấy chứng nhận,Đã nộp hồ sơ 2 tháng nhưng chưa được giải quyết,khieu_nai
Phản ánh tình trạng rác thải,Rác thải tập kết không đúng nơi quy định gây ô nhiễm môi trường,phan_anh
Khiếu nại thái độ phục vụ,Cán bộ thái độ không tốt khi tiếp nhận hồ sơ,khieu_nai
Phản ánh về tình trạng điện,Khu vực thường xuyên bị mất điện vào buổi tối,phan_anh
Khiếu nại về kết quả xét duyệt,Không đồng ý với kết quả xét duyệt hộ nghèo,khieu_nai
Phản ánh về an ninh trật tự,Tình trạng đánh bạc diễn ra công khai trong khu dân cư,phan_anh
Khiếu nại việc thu phí,Thu phí không đúng quy định và không có biên lai,khieu_nai
Phản ánh tình trạng nước sạch,Nước sinh hoạt thường xuyên bị đục và có mùi,phan_anh
Khiếu nại về đất đai,Ranh giới đất bị lấn chiếm không được giải quyết,khieu_nai
Phản ánh về tiếng ồn,Karaoke gây ồn ào sau 23h đêm,phan_anh
Khiếu nại về bồi thường,Đền bù giải phóng mặt bằng không thỏa đáng,khieu_nai
Phản ánh về vệ sinh môi trường,Khu chợ không được dọn dẹp vệ sinh thường xuyên,phan_anh
Khiếu nại về xây dựng,Công trình xây dựng sai phép gây ảnh hưởng,khieu_nai
Phản ánh về cây xanh,Cây có nguy cơ đổ vào nhà dân cần được xử lý,phan_anh
Phản ánh về cây xanh nguy hiểm,Người dân phản ánh về tình trạng cây xanh nguy hiểm kéo dài.,phan_anh
Không đồng ý với lấn chiếm đất,Không đồng ý với cách xử lý lấn chiếm đất của cơ quan chức năng.,khieu_nai
Phản ánh về mất trật tự,Đề nghị cơ quan chức năng kiểm tra và xử lý mất trật tự.,phan_anh
Yêu cầu giải quyết giải quyết hồ sơ chậm,Yêu cầu làm rõ trách nhiệm về giải quyết hồ sơ chậm.,khieu_nai
Kiến nghị xử lý cây xanh nguy hiểm,Đề nghị cơ quan chức năng kiểm tra và xử lý cây xanh nguy hiểm.,phan_anh
Tố cáo việc xử lý trách nhiệm,Không đồng ý với cách xử lý xử lý trách nhiệm của cơ quan chức năng.,khieu_nai
Kiến nghị xử lý ô nhiễm,Người dân phản ánh về tình trạng ô nhiễm kéo dài.,phan_anh
Khiếu nại về lấn chiếm đất,Yêu cầu làm rõ trách nhiệm về lấn chiếm đất.,khieu_nai
Góp ý về rác thải,Người dân phản ánh về tình trạng rác thải kéo dài.,phan_anh
Tố cáo việc bồi thường,Đề nghị xem xét lại quyết định liên quan đến bồi thường.,khieu_nai
Góp ý về ô nhiễm,Đề nghị cơ quan chức năng kiểm tra và xử lý ô nhiễm.,phan_anh
Yêu cầu giải quyết bồi thường,Đã nộp hồ sơ nhưng chưa được giải quyết về bồi thường.,khieu_nai
Kiến nghị xử lý cây xanh nguy hiểm,Đề nghị cơ quan chức năng kiểm tra và xử lý cây xanh nguy hiểm.,phan_anh
Tố cáo việc thái độ phục vụ,Đã nộp hồ sơ nhưng chưa được giải quyết về thái độ phục vụ.,khieu_nai
Góp ý về an ninh trật tự,an ninh trật tự không được xử lý kịp thời gây ảnh hưởng cộng đồng.,phan_anh
Khiếu nại về xây dựng sai phép,Yêu cầu làm rõ trách nhiệm về xây dựng sai phép.,khieu_nai
Kiến nghị xử lý an ninh trật tự,Người dân phản ánh về tình trạng an ninh trật tự kéo dài.,phan_anh
Tố cáo việc bồi thường,Không đồng ý với cách xử lý bồi thường của cơ quan chức năng.,khieu_nai
Kiến nghị xử lý rác thải,Khu vực thường xuyên bị rác thải gây khó khăn cho sinh hoạt.,phan_anh
Khiếu nại về giải quyết hồ sơ chậm,Không đồng ý với cách xử lý giải quyết hồ sơ chậm của cơ quan chức năng.,khieu_nai
Kiến nghị xử lý vệ sinh môi trường,Đề nghị cơ quan chức năng kiểm tra và xử lý vệ sinh môi trường.,phan_anh
Tố cáo việc lấn chiếm đất,Đã nộp hồ sơ nhưng chưa được giải quyết về lấn chiếm đất.,khieu_nai
Phản ánh về an ninh trật tự,Người dân phản ánh về tình trạng an ninh trật tự kéo dài.,phan_anh
Không đồng ý với xây dựng sai phép,Không đồng ý với cách xử lý xây dựng sai phép của cơ quan chức năng.,khieu_nai
Phản ánh về tiếng ồn,Khu vực thường xuyên bị tiếng ồn gây khó khăn cho sinh hoạt.,phan_anh
Khiếu nại về quyết định không hợp lý,Yêu cầu làm rõ trách nhiệm về quyết định không hợp lý.,khieu_nai
